,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
4068,Jefferson Elementary School,Public district,PK-5,330.0,13:1,Janesville School District,4,Below average,"1831 Mount Zion Avenue, Janesville, WI, 53545",2
4069,Adams Elementary School,Public district,PK-5,312.0,15:1,Janesville School District,3,Below average,"1138 East Memorial Drive, Janesville, WI, 53545",2
4070,Madison Elementary School,Public district,PK-5,447.0,14:1,Janesville School District,3,Below average,"331 North Grant Avenue, Janesville, WI, 53548",2
4071,Parker High School,Public district,9-12,1311.0,14:1,Janesville School District,3,Below average,"3125 Mineral Point Avenue, Janesville, WI, 53548",2
4072,Washington Elementary School,Public district,PK-5,335.0,15:1,Janesville School District,3,Below average,"811 North Pine Street, Janesville, WI, 53548",2
4073,Lincoln Elementary School,Public district,PK-5,368.0,14:1,Janesville School District,2,Below average,"1821 Conde Street, Janesville, WI, 53546",2
4074,Marshall Middle School,Public district,6-8,856.0,15:1,Janesville School District,2,Below average,"25 South Pontiac Drive, Janesville, WI, 53545",2
4075,Wilson Elementary School,Public district,PK-5,263.0,11:1,Janesville School District,2,Below average,"465 Rockport Road, Janesville, WI, 53548",2
4076,Rock River Charter School,Public charter,6-12,211.0,27:1,Janesville School District,1,Below average,"31 West Milwaukee Street, Janesville, WI, 53548",2
4080,Ireland Elementary School,Public district,K-5,543.0,21:1,Greater Jasper Con Schools,10,Top rated,"2386 North 500 West, Jasper, IN, 47546",2
4081,Jasper High School,Public district,9-12,1094.0,18:1,Greater Jasper Con Schools,8,Above average,"1600 Saint Charles Street, Jasper, IN, 47546",4
4082,Jasper Middle School,Public district,6-8,709.0,19:1,Greater Jasper Con Schools,7,Above average,"3600 North Portersville Road, Jasper, IN, 47546",2
4083,Tenth Street School,Public district,3-5,386.0,15:1,Greater Jasper Con Schools,7,Above average,"328 West 10th Street, Jasper, IN, 47546",2
4101,Blair Oaks Elementary School,Public district,K-4,419.0,14:1,Blair Oaks R-Ii School District,9,Above average,"6124 Falcon Lane, Jefferson City, MO, 65101",2
4102,Blair Oaks High School,Public district,9-12,427.0,18:1,Blair Oaks R-Ii School District,7,Above average,"6124 Falcon Lane, Jefferson City, MO, 65101",4
4103,Blair Oaks Middle School,Public district,5-8,381.0,16:1,Blair Oaks R-Ii School District,7,Above average,"6124 Falcon Lane, Jefferson City, MO, 65101",2
4104,Pioneer Trail Elementary School,Public district,K-5,507.0,18:1,Jefferson City School District,5,Average,"301 Pioneer Trail Drive, Jefferson City, MO, 65109",2
4105,Belair Elementary School,Public district,K-5,402.0,16:1,Jefferson City School District,5,Average,"701 Belair Drive, Jefferson City, MO, 65109",2
4106,Clarence Lawson Elementary School,Public district,K-5,469.0,16:1,Jefferson City School District,5,Average,"1105 Fairgrounds Road, Jefferson City, MO, 65109",2
4107,Lewis And Clark Middle School,Public district,6-8,946.0,14:1,Jefferson City School District,4,Below average,"325 Lewis and Clark Drive, Jefferson City, MO, 65101",2
4108,Cedar Hill Elementary School,Public district,K-5,392.0,16:1,Jefferson City School District,4,Below average,"1510 Vieth Drive, Jefferson City, MO, 65109",2
4109,Jefferson City High School,Public district,9-12,2484.0,15:1,Jefferson City School District,4,Below average,"609 Union Street, Jefferson City, MO, 65101",2
4110,South Elementary School,Public district,K-5,333.0,13:1,Jefferson City School District,4,Below average,"707 Linden Drive, Jefferson City, MO, 65109",2
4111,West Elementary School,Public district,K-5,378.0,16:1,Jefferson City School District,4,Below average,"100 Dix Road, Jefferson City, MO, 65109",2
4112,Thomas Jefferson Middle School,Public district,6-8,1072.0,16:1,Jefferson City School District,3,Below average,"1201 Fairgrounds Road, Jefferson City, MO, 65109",2
4113,Thorpe J. Gordon Elementary School,Public district,K-5,339.0,12:1,Jefferson City School District,3,Below average,"1101 Jackson Street, Jefferson City, MO, 65101",2
4114,East Elementary School,Public district,K-5,304.0,12:1,Jefferson City School District,2,Below average,"1229 East McCarty Street, Jefferson City, MO, 65101",2
4115,Moreau Heights Elementary School,Public district,K-5,423.0,13:1,Jefferson City School District,2,Below average,"1410 Hough Park Road, Jefferson City, MO, 65101",2
4126,Jersey City Global Charter School,Public charter,K-6,383.0,19:1,Jersey City Global Charter School,10,Top rated,"255 Congress St, Jersey City, NJ, 07307",2
4127,Dr. Ronald Mc Nair Academy High SchoolNew Jersey,Public district,9-12,683.0,11:1,Jersey City Public School District,10,Top rated,"123 Coles Street, Jersey City, NJ, 07302",2
4128,Infinity InstituteNew Jersey,Public district,6-12,257.0,10:1,Jersey City Public School District,9,Above average,"193 Old Bergen Road, Jersey City, NJ, 07305",2
4129,Cornelia F. Bradford No. 16 Elementary School,Public district,PK-5,526.0,12:1,Jersey City Public School District,9,Above average,"96 Sussex Street, Jersey City, NJ, 07302",2
4130,Soaring Heights Charter School,Public charter,K-8,241.0,14:1,Soaraing Heights Charter School,8,Above average,"1 Romar Avenue, Jersey City, NJ, 07305",2
4131,Liberty High School,Public district,9-12,188.0,7:1,Jersey City Public School District,8,Above average,"299 Sip Avenue, Jersey City, NJ, 07306",2
4132,County Prep High SchoolNew Jersey,Public district,9-12,899.0,8:1,Hudson County School District Of Technology,8,Above average,"525 Montgomery Street, Jersey City, NJ, 07302",2
4133,The Academy I Middle School,Public district,6-8,487.0,11:1,Jersey City Public School District,8,Above average,"209 Bergen Avenue, Jersey City, NJ, 07305",2
4134,Learning Community Charter School,Public charter,PK-8,578.0,12:1,The Learning Community Charter School,7,Above average,"2495 John F. Kennedy Boulevard, Jersey City, NJ, 07304",2
4135,Number 5 Elementary School,Public district,PK-8,675.0,10:1,Jersey City Public School District,7,Above average,"182 Merseles Street, Jersey City, NJ, 07302",2
4136,Alfred E. Zampella No. 27 Elementary School,Public district,PK-8,1037.0,12:1,Jersey City Public School District,7,Above average,"201 North Street, Jersey City, NJ, 07307",2
4137,Jotham W. Wakeman No. 6 Elementary School,Public district,PK-5,753.0,11:1,Jersey City Public School District,7,Above average,"100 Saint Pauls Avenue, Jersey City, NJ, 07306",2
4138,The Ethical Community Charter School,Public charter,K-8,377.0,11:1,The Ethical Community Charter School,6,Average,"95 Broadway, Jersey City, NJ, 07306",2
4139,"Martin Luther King, Jr No. 11 Elementary School",Public district,PK-8,898.0,12:1,Jersey City Public School District,6,Average,"886 Bergen Avenue, Jersey City, NJ, 07306",2
4140,Julia A. Barnes No. 12 Elementary School,Public district,PK-8,391.0,7:1,Jersey City Public School District,6,Average,"91 Astor Place, Jersey City, NJ, 07304",2
4141,Jersey City Community Charter School,Public charter,K-8,588.0,17:1,Jersey City Community Charter School,5,Average,"128 Danforth Avenue, Jersey City, NJ, 07305",2
4142,Jersey City Golden Door Charter School,Public charter,PK-8,569.0,14:1,Jersey City Golden Door Charter School,5,Average,"3044 John F. Kennedy Boulevard, Jersey City, NJ, 07306",2
4143,Dr Lena Edwards Academic,Public charter,K-8,384.0,13:1,Dr Lena Edwards Academic Charter School,5,Average,"509 Bramhall Avenue, Jersey City, NJ, 07304",2
4144,Beloved Community Charter School,Public charter,K-6,959.0,14:1,Beloved Community Charter School,5,Average,"508 Grand Street, Jersey City, NJ, 07302",2
4145,Explore 2000 Middle School,Public district,6-8,150.0,9:1,Hudson County School District Of Technology,5,Average,"180 9th Street, Jersey City, NJ, 07302",2
4146,Empowerment Academy Charter School,Public charter,K-2,457.0,14:1,Empowerment Academy Charter School,5,Average,"240 Ege Avenue, Jersey City, NJ, 07304",2
4147,Number 20 Elementary School,Public district,PK-5,809.0,13:1,Jersey City Public School District,5,Average,"160 Danforth Avenue, Jersey City, NJ, 07305",2
4148,Number 22 Elementary School,Public district,PK-5,749.0,10:1,Jersey City Public School District,5,Average,"264 Van Horne Street, Jersey City, NJ, 07304",2
4149,Nicolas Copernicus No. 25 Elementary School,Public district,PK-5,727.0,10:1,Jersey City Public School District,5,Average,"3385 John F. Kennedy Boulevard, Jersey City, NJ, 07307",2
4150,Number 28 Elementary School,Public district,PK-8,1043.0,11:1,Jersey City Public School District,5,Average,"167 Hancock Avenue, Jersey City, NJ, 07307",2
4151,Kelsey Norman Elementary School,Public district,K-5,315.0,13:1,Joplin Schools School District,7,Above average,"1323 East 28th Street, Joplin, MO, 64804",2
4152,Stapleton Elementary School,Public district,K-5,414.0,15:1,Joplin Schools School District,7,Above average,"101 East 41st Street, Joplin, MO, 64804",2
4153,Eastmorland Elementary School,Public district,K-5,276.0,11:1,Joplin Schools School District,6,Average,"1131 South Highview Avenue, Joplin, MO, 64801",2
4154,East Middle School,Public district,6-8,603.0,13:1,Joplin Schools School District,6,Average,"4594 East 20th Street, Joplin, MO, 64801",2
4155,Columbia Elementary School,Public district,K-5,226.0,12:1,Joplin Schools School District,4,Below average,"610 West F Street, Joplin, MO, 64801",2
4156,Jefferson Elementary School,Public district,K-5,242.0,13:1,Joplin Schools School District,4,Below average,"130 South McKinley Avenue, Joplin, MO, 64801",2
4157,Royal Heights Elementary School,Public district,K-5,239.0,14:1,Joplin Schools School District,4,Below average,"2100 Rolla Street, Joplin, MO, 64801",2
4158,North Middle School,Public district,6-8,589.0,12:1,Joplin Schools School District,4,Below average,"102 North Gray Avenue, Joplin, MO, 64801",2
4159,Duenweg Elementary School,Public district,K-5,385.0,14:1,Joplin Schools School District,3,Below average,"4604 East 20th Street, Joplin, MO, 64801",2
4160,Irving Elementary,Public district,K-5,448.0,12:1,Joplin Schools School District,3,Below average,"2901 McClelland Boulevard, Joplin, MO, 64804",2
4161,McKinley Elementary School,Public district,K-5,363.0,11:1,Joplin Schools School District,3,Below average,"610 Forest Avenue, Joplin, MO, 64801",2
4162,Joplin High School,Public district,9-12,2189.0,17:1,Joplin Schools School District,3,Below average,"2104 South Indiana Avenue, Joplin, MO, 64804",2
4163,West Central Elementary School,Public district,K-5,226.0,14:1,Joplin Schools School District,3,Below average,"1001 West 7th Street, Joplin, MO, 64801",2
4164,Cecil Floyd Elementary School,Public district,K-5,525.0,14:1,Joplin Schools School District,3,Below average,"2201 West 24th Street, Joplin, MO, 64804",2
4176,Juneau Community Charter School,Public charter,K-8,101.0,11:1,Juneau Borough School District,8,Above average,"430 4th Street, Juneau, AK, 99801",2
4177,Auke Bay Elementary School,Public district,PK-5,393.0,18:1,Juneau Borough School District,7,Above average,"11880 Glacier Highway, Juneau, AK, 99801",2
4178,Montessori Borealis Public Alternative School,Public district,PK-8,189.0,17:1,Juneau Borough School District,6,Average,"1415 Glacier Avenue, Juneau, AK, 99801",2
4179,Juneau-Douglas High School,Public district,9-12,582.0,16:1,Juneau Borough School District,6,Average,"1639 Glacier Avenue, Juneau, AK, 99801",2
4180,Gastineau Elementary School,Public district,PK-5,286.0,14:1,Juneau Borough School District,5,Average,"1507 3rd Street, Juneau, AK, 99824",2
4181,Riverbend Elementary School,Public district,PK-5,312.0,15:1,Juneau Borough School District,5,Average,"2901 Riverside Drive, Juneau, AK, 99801",2
4182,Thunder Mountain High School,Public district,9-12,701.0,19:1,Juneau Borough School District,5,Average,"3101 Riverside Drive, Juneau, AK, 99801",2
4183,Floyd Dryden Middle School,Public district,6-8,444.0,17:1,Juneau Borough School District,4,Below average,"3800 Mendenhall Loop Road, Juneau, AK, 99801",2
4184,Harborview Elementary School,Public district,PK-6,360.0,13:1,Juneau Borough School District,4,Below average,"1255 Glacier Avenue, Juneau, AK, 99801",2
4185,Dzantik'i Heeni Middle School,Public district,6-8,516.0,15:1,Juneau Borough School District,4,Below average,"1600 Renninger Street, Juneau, AK, 99801",2
4186,Mendenhall River Community School,Public district,PK-5,355.0,16:1,Juneau Borough School District,4,Below average,"9001 Mendenhall Loop Road, Juneau, AK, 99801",2
4187,Glacier Valley Elementary School,Public district,PK-5,368.0,15:1,Juneau Borough School District,3,Below average,"3400 Tongass Boulevard, Juneau, AK, 99801",2
4188,Yaakoosge Daakahidi Alternative High School,Public district,9-12,103.0,14:1,Juneau Borough School District,3,Below average,"1415 Glacier Avenue, Juneau, AK, 99801",2
4189,Homebridge,Public district,PK-12,40.0,90:1,Juneau Borough School District,2,Below average,"1208 Glacier Avenue, Juneau, AK, 99801",2
4201,Woods Lake Elementary:A Magnet Center For The Arts,Public district,K-5,550.0,18:1,Kalamazoo Public Schools,7,Above average,"3215 Oakland Drive, Kalamazoo, MI, 49008",2
4202,Alamo Elementary School,Public district,K-5,291.0,17:1,Otsego Public Schools,7,Above average,"8184 North 6th Street, Kalamazoo, MI, 49009",2
4203,Northglade Montessori School,Public district,K-5,224.0,19:1,Kalamazoo Public Schools,6,Average,"1914 Cobb Avenue, Kalamazoo, MI, 49007",2
4204,Washington Writers' Academy,Public district,K-5,363.0,17:1,Kalamazoo Public Schools,6,Average,"1919 Portage Street, Kalamazoo, MI, 49001",2
4205,Winchell Elementary School,Public district,K-5,497.0,22:1,Kalamazoo Public Schools,6,Average,"2316 Winchell Avenue, Kalamazoo, MI, 49008",2
4206,Cooper Elementary School,Public district,K-5,283.0,18:1,Plainwell Community Schools,6,Average,"7559 14th Street North, Kalamazoo, MI, 49009",2
4207,Linden Grove Middle School,Public district,6-8,772.0,20:1,Kalamazoo Public Schools,6,Average,"4241 Arboretum Parkway, Kalamazoo, MI, 49006",2
4208,STEM Academy,Public district,K-8,256.0,19:1,Comstock Public Schools,6,Average,"175 Hunt St, Kalamazoo, MI, 49048",2
4209,Indian Prairie Elementary School,Public district,K-3,257.0,20:1,Kalamazoo Public Schools,5,Average,"3546 Grand Prairie Road, Kalamazoo, MI, 49006",2
4210,Maple Street Magnet School For The Arts,Public district,6-8,836.0,19:1,Kalamazoo Public Schools,5,Average,"922 West Maple Street, Kalamazoo, MI, 49008",2
4211,King-Westwood Elementary School,Public district,K-5,576.0,19:1,Kalamazoo Public Schools,5,Average,"1100 Nichols Road, Kalamazoo, MI, 49006",2
4212,El Sol Elementary,Public district,K-12,327.0,16:1,Kalamazoo Public Schools,5,Average,"604 West Vine Street, Kalamazoo, MI, 49008",2
4213,Forest Academy,Public charter,K-8,193.0,10:1,Forest Academy,5,Average,"5196 Comstock Avenue, Kalamazoo, MI, 49048",2
4214,Arcadia Elementary School,Public district,K-12,390.0,17:1,Kalamazoo Public Schools,4,Below average,"932 Boswell Lane, Kalamazoo, MI, 49006",2
4215,Prairie Ridge Elementary School,Public district,K-5,485.0,18:1,Kalamazoo Public Schools,4,Below average,"2294 South 9th Street, Kalamazoo, MI, 49009",2
4216,Parkwood-Upjohn Elementary School,Public district,K-5,538.0,19:1,Kalamazoo Public Schools,4,Below average,"2321 South Park Street, Kalamazoo, MI, 49001",2
4217,Kalamazoo Central High School,Public district,9-12,1722.0,21:1,Kalamazoo Public Schools,4,Below average,"2432 North Drake Road, Kalamazoo, MI, 49009",2
4218,Paramount Charter Academy,Public charter,K-8,486.0,18:1,Paramount Charter Academy,4,Below average,"3624 South Westnedge Avenue, Kalamazoo, MI, 49008",2
