,School,Score,Rating,Address
18770,Pritchard Child Development Center,Currently unrated,6/10,"1117 South Boulevard, Charlotte, NC, 28203"
18771,Calvary Child Development Center,Currently unrated,6/10,"5801 Pineville-Matthews Road, Charlotte, NC, 28226"
18772,Sharon Baptist Weekday School,Currently unrated,6/10,"6411 Sharon Rd, Charlotte, NC, 28210"
18773,Northside Christian Academy,Currently unrated,6/10,"333 Jeremiah Blvd, Charlotte, NC, 28262"
18774,Plaza Road Academy,Currently unrated,6/10,"6035 Hunters Crossing Lane, Charlotte, NC, 28215"
18775,Trinity Episcopal School,Currently unrated,6/10,"750 East 9th Street, Charlotte, NC, 28202"
18776,British International School,Currently unrated,6/10,"7000 Endhaven Lane, Charlotte, NC, 28277"
18777,New Life Christian Academy,Currently unrated,6/10,"1337 Samuel Street, Charlotte, NC, 28206"
18778,Carolina Montessori Academy,Currently unrated,6/10,"1524 Mount Holly-Huntersville Road, Charlotte, NC, 28214"
18779,Peters Academy,Currently unrated,5/10,"5120 Rea Rd, Charlotte, NC, 28226"
18780,Cyzner Institute,Currently unrated,5/10,"7022 Sardis Road, Charlotte, NC, 28270"
18781,Covenant Presbyterian Pre-School,Currently unrated,5/10,"1000 East Morehead Street, Charlotte, NC, 28204"
18782,Westminster Presbyterian Day Care,Currently unrated,5/10,"101 Colville Road, Charlotte, NC, 28207"
18783,Miss Wanda's Nursery,Currently unrated,5/10,"1011 Clanton Road, Charlotte, NC, 28217"
18784,El Shaddai Child Care Center,Currently unrated,5/10,"10124 Atkins Ridge Drive, Charlotte, NC, 28213"
18785,Providence Presbyterian Pre-School,Currently unrated,8/10,"10140 Providence Church Lane, Charlotte, NC, 28277"
18786,Tiger and Nubee Day Care,Currently unrated,8/10,"1019 Pryor St, Charlotte, NC, 28208"
18787,Ms Mary's Christian Academy,Currently unrated,8/10,"1021 Polk Street, Charlotte, NC, 28206"
18788,Tiny Tyke Learning Center,Currently unrated,8/10,"1031 Glenfiddich Dr, Charlotte, NC, 28215"
18789,Shelia's Wonderland,Currently unrated,7/10,"1032 White Plains Road, Charlotte, NC, 28213"
18790,Peyton's Place Child Care Center,Currently unrated,7/10,"10320 Wakerobin Lane, Charlotte, NC, 28213"
18791,Primrose School-Park Crossing,Currently unrated,7/10,"Huntingtowne Farms Lane, Charlotte, NC, 28210"
18792,Little Learners Day Care Center,Currently unrated,7/10,"1076 Tom Hunter Road, Charlotte, NC, 28213"
18793,Mrs Rane's Learning Room,Currently unrated,7/10,"10807 Wyndham Pointe Drive, Charlotte, NC, 28213"
18794,Wee Care Christian Day Care,Currently unrated,7/10,"1112 Opal St, Charlotte, NC, 28208"
18795,Pritchard Child Development Center,Currently unrated,6/10,"1117 South Boulevard, Charlotte, NC, 28203"
18796,Lots A Luv Day Care,Currently unrated,6/10,"11225 Amber Glen Dr, Charlotte, NC, 28269"
18797,Cranfield Academy,Currently unrated,6/10,"11330 Carmel Commons Boulevard, Charlotte, NC, 28226"
18798,Early Beginnings Child Development Center,Currently unrated,6/10,"11330 Rozzelles Ferry Road, Charlotte, NC, 28214"
18799,May Blossoms Child Care Center,Currently unrated,6/10,"11417 Spreading Oak Ln, Charlotte, NC, 28226"
18800,Family Tree Child Care,Currently unrated,6/10,"11419 Leadenhall Lane, Charlotte, NC, 28262"
18801,Sand's Day Care,Currently unrated,6/10,"119 Short Hills Drive, Charlotte, NC, 28217"
18802,A Is For Apple Child Care Center,Currently unrated,6/10,"11919 Planters Estates Drive, Charlotte, NC, 28278"
18803,Peighton's Place Day Care,Currently unrated,6/10,"12021 Hanway Ct, Charlotte, NC, 28273"
18804,Donnas Day Care,Currently unrated,5/10,"121 Scottsmoor Dr, Charlotte, NC, 28214"
18805,Pam's Playhouse Day Care,Currently unrated,5/10,"1212 Eagles Landing Dr, Charlotte, NC, 28214"
18806,Kaminas Playhouse Ccs Inc,Currently unrated,5/10,"122 Huntsmoor Drive, Charlotte, NC, 28217"
18807,Apple Orchard Learning Center,Currently unrated,5/10,"12241 Old Timber Road, Charlotte, NC, 28269"
18808,Alpha Omega Dev Center,Currently unrated,5/10,"1238 E 10th St, Charlotte, NC, 28204"
18809,Marie Wallace Day Care,Currently unrated,5/10,"12532 Rolling Rock Ct, Charlotte, NC, 28215"
18810,Johnson's Mini School Day Care,Currently unrated,5/10,"4400 Hovis Road, Charlotte, NC, 28208"
18811,Kiddie Farms Child Development Center,Currently unrated,5/10,"Po Box 560036, Charlotte, NC, 28256"
18812,To Serve with Love House,Currently unrated,5/10,"131 Sleepy Hollow Rd, Charlotte, NC, 28217"
18813,Primrose School-Eastfield Vlg,Currently unrated,5/10,"13105 Eastfield Village Lane, Charlotte, NC, 28269"
18814,Good Shepherd United Methodist School,Currently unrated,5/10,"13110 Moss Road, Charlotte, NC, 28273"
18815,Frans Kids Day Care 3,Currently unrated,5/10,"Po Box 16757, Charlotte, NC, 28297"
18816,Double Oaks Head Start Center,Currently unrated,4/10,"1326 Woodward Ave, Charlotte, NC, 28206"
18817,Kidstown Child Care,Currently unrated,4/10,"Po Box 240713, Charlotte, NC, 28224"
18818,New Life Child Development Center,Currently unrated,4/10,"1337 Samuel Street, Charlotte, NC, 28206"
18819,The Goddard School - Charlotte (Ballantyne),Currently unrated,4/10,"13820 Ballantyne Corporate Place, Charlotte, NC, 28277"
18820,St. Paul Baptist Child Development Center,Currently unrated,4/10,"1401 Allen St, Charlotte, NC, 28205"
18821,Lots A Luv Day Care,Currently unrated,4/10,"11225 Amber Glen Dr, Charlotte, NC, 28269"
18822,Cranfield Academy,Currently unrated,4/10,"11330 Carmel Commons Boulevard, Charlotte, NC, 28226"
18823,Early Beginnings Child Development Center,Currently unrated,4/10,"11330 Rozzelles Ferry Road, Charlotte, NC, 28214"
18824,May Blossoms Child Care Center,Currently unrated,4/10,"11417 Spreading Oak Ln, Charlotte, NC, 28226"
18825,Family Tree Child Care,Currently unrated,4/10,"11419 Leadenhall Lane, Charlotte, NC, 28262"
18826,Sand's Day Care,Currently unrated,4/10,"119 Short Hills Drive, Charlotte, NC, 28217"
18827,A Is For Apple Child Care Center,Currently unrated,4/10,"11919 Planters Estates Drive, Charlotte, NC, 28278"
18828,Peighton's Place Day Care,Currently unrated,4/10,"12021 Hanway Ct, Charlotte, NC, 28273"
18829,Donnas Day Care,Currently unrated,4/10,"121 Scottsmoor Dr, Charlotte, NC, 28214"
18830,Pam's Playhouse Day Care,Currently unrated,4/10,"1212 Eagles Landing Dr, Charlotte, NC, 28214"
18831,Kaminas Playhouse Ccs Inc,Currently unrated,4/10,"122 Huntsmoor Drive, Charlotte, NC, 28217"
18832,Apple Orchard Learning Center,Currently unrated,4/10,"12241 Old Timber Road, Charlotte, NC, 28269"
18833,Alpha Omega Dev Center,Currently unrated,4/10,"1238 E 10th St, Charlotte, NC, 28204"
18834,Marie Wallace Day Care,Currently unrated,3/10,"12532 Rolling Rock Ct, Charlotte, NC, 28215"
18835,Johnson's Mini School Day Care,Currently unrated,5/10,"4400 Hovis Road, Charlotte, NC, 28208"
18836,Kiddie Farms Child Development Center,Currently unrated,5/10,"Po Box 560036, Charlotte, NC, 28256"
18837,To Serve with Love House,Currently unrated,5/10,"131 Sleepy Hollow Rd, Charlotte, NC, 28217"
18838,Primrose School-Eastfield Vlg,Currently unrated,5/10,"13105 Eastfield Village Lane, Charlotte, NC, 28269"
18839,Good Shepherd United Methodist School,Currently unrated,5/10,"13110 Moss Road, Charlotte, NC, 28273"
18840,Frans Kids Day Care 3,Currently unrated,5/10,"Po Box 16757, Charlotte, NC, 28297"
18841,Double Oaks Head Start Center,Currently unrated,4/10,"1326 Woodward Ave, Charlotte, NC, 28206"
18842,Kidstown Child Care,Currently unrated,4/10,"Po Box 240713, Charlotte, NC, 28224"
18843,New Life Child Development Center,Currently unrated,4/10,"1337 Samuel Street, Charlotte, NC, 28206"
18844,The Goddard School - Charlotte (Ballantyne),Currently unrated,4/10,"13820 Ballantyne Corporate Place, Charlotte, NC, 28277"
18845,St. Paul Baptist Child Development Center,Currently unrated,4/10,"1401 Allen St, Charlotte, NC, 28205"
18846,Sunshine Health DC,Currently unrated,4/10,"1404 Orchard Lake Dr, Charlotte, NC, 28270"
18847,All Star Childrens Academy,Currently unrated,4/10,"14115 Lancaster Hwy, Charlotte, NC, 28277"
18848,Gateway Academy Cdc-Ballantyne,Currently unrated,4/10,"14325 Ballantyne Meadows Drive, Charlotte, NC, 28277"
18849,Briar Creek Baptist Ccministry,Currently unrated,4/10,"1451 Briar Creek Road, Charlotte, NC, 28205"
18850,Debbie's Day Care,Currently unrated,4/10,"14843 Rothwell Dr, Charlotte, NC, 28227"
18851,Childrens Circle Child Care Center,Currently unrated,4/10,"1501 Queens Road, Charlotte, NC, 28207"
18852,Davis Playhouse Day Care,Currently unrated,4/10,"1518 Mineral Springs Rd, Charlotte, NC, 28262"
18853,The Sunshine House,Currently unrated,4/10,"15644 Donnington Drive, Charlotte, NC, 28277"
18854,Boulevard Pre-School,Currently unrated,4/10,"1622 Brooksvale St, Charlotte, NC, 28208"
18855,Providence Road Kindercare,Currently unrated,4/10,"1700 Providence Road, Charlotte, NC, 28207"
18856,Ernestine Weddington Small Dc,Currently unrated,4/10,"1706 Old Towne Court, Charlotte, NC, 28217"
18857,Tutor Time Child Care Center,Currently unrated,4/10,"1720 J N Pease Place, Charlotte, NC, 28262"
18858,Ann's Nursery,Currently unrated,4/10,"1827 Edgewater Drive, Charlotte, NC, 28210"
18859,Presbyterian Hospital Child Development Center,Currently unrated,3/10,"1901 East 5th Street, Charlotte, NC, 28204"
18860,Child Care Network,Currently unrated,3/10,"1901 North Sharon Amity Road, Charlotte, NC, 28205"
18861,Bethlehem Center High School-Oaklawn,Currently unrated,3/10,"1920 Stroud Park Court, Charlotte, NC, 28206"
18862,Rebecca Williams Day Care,Currently unrated,3/10,"1930 Ranchwood Dr, Charlotte, NC, 28217"
18863,Myers Park Bapt Pre-School,Currently unrated,3/10,"1900 Queens Road, Charlotte, NC, 28207"
18864,Princess Palace Learning Center,Currently unrated,3/10,"1943 West Boulevard, Charlotte, NC, 28208"
18865,Granny's Child Care Center,Currently unrated,3/10,"200 Stone Post Rd, Charlotte, NC, 28217"
18866,First Pres Chur Child Development Center,Currently unrated,3/10,"200 West Trade Street, Charlotte, NC, 28202"
18867,Byer's Day Care,Currently unrated,3/10,"2009 Bangor Road, Charlotte, NC, 28217"
18868,Learn and Play Day School-Heywood,Currently unrated,3/10,"2009 Heywood Ave, Charlotte, NC, 28208"
18869,Kids Academy,Currently unrated,2/10,"2010 Russell Ave, Charlotte, NC, 28216"
18870,Fairyland Pre-School 2,Currently unrated,2/10,"2017 Bentley Pl, Charlotte, NC, 28205"
18871,Sunshine Health DC,Currently unrated,2/10,"1404 Orchard Lake Dr, Charlotte, NC, 28270"
18872,All Star Childrens Academy,Currently unrated,2/10,"14115 Lancaster Hwy, Charlotte, NC, 28277"
18873,Gateway Academy Cdc-Ballantyne,Currently unrated,2/10,"14325 Ballantyne Meadows Drive, Charlotte, NC, 28277"
18874,Briar Creek Baptist Ccministry,Currently unrated,2/10,"1451 Briar Creek Road, Charlotte, NC, 28205"
18875,Debbie's Day Care,Currently unrated,2/10,"14843 Rothwell Dr, Charlotte, NC, 28227"
18876,Childrens Circle Child Care Center,Currently unrated,2/10,"1501 Queens Road, Charlotte, NC, 28207"
18877,Davis Playhouse Day Care,Currently unrated,2/10,"1518 Mineral Springs Rd, Charlotte, NC, 28262"
18878,The Sunshine House,Currently unrated,2/10,"15644 Donnington Drive, Charlotte, NC, 28277"
18879,Boulevard Pre-School,Currently unrated,2/10,"1622 Brooksvale St, Charlotte, NC, 28208"
18880,Providence Road Kindercare,Currently unrated,1/10,"1700 Providence Road, Charlotte, NC, 28207"
18881,Ernestine Weddington Small Dc,Currently unrated,3/10,"1706 Old Towne Court, Charlotte, NC, 28217"
18882,Tutor Time Child Care Center,Currently unrated,3/10,"1720 J N Pease Place, Charlotte, NC, 28262"
18883,Ann's Nursery,Currently unrated,3/10,"1827 Edgewater Drive, Charlotte, NC, 28210"
18884,Presbyterian Hospital Child Development Center,Currently unrated,3/10,"1901 East 5th Street, Charlotte, NC, 28204"
18885,Child Care Network,Currently unrated,3/10,"1901 North Sharon Amity Road, Charlotte, NC, 28205"
18886,Bethlehem Center High School-Oaklawn,Currently unrated,3/10,"1920 Stroud Park Court, Charlotte, NC, 28206"
18887,Rebecca Williams Day Care,Currently unrated,3/10,"1930 Ranchwood Dr, Charlotte, NC, 28217"
18888,Myers Park Bapt Pre-School,Currently unrated,3/10,"1900 Queens Road, Charlotte, NC, 28207"
18889,Princess Palace Learning Center,Currently unrated,3/10,"1943 West Boulevard, Charlotte, NC, 28208"
18890,Granny's Child Care Center,Currently unrated,2/10,"200 Stone Post Rd, Charlotte, NC, 28217"
18891,First Pres Chur Child Development Center,Currently unrated,2/10,"200 West Trade Street, Charlotte, NC, 28202"
18892,Byer's Day Care,Currently unrated,2/10,"2009 Bangor Road, Charlotte, NC, 28217"
18893,Learn and Play Day School-Heywood,Currently unrated,2/10,"2009 Heywood Ave, Charlotte, NC, 28208"
18894,Kids Academy,Currently unrated,2/10,"2010 Russell Ave, Charlotte, NC, 28216"
18895,Fairyland Pre-School 2,Currently unrated,2/10,"2017 Bentley Pl, Charlotte, NC, 28205"
18896,Little Debbie's Child Development Center,Currently unrated,2/10,"2024 Camp Greene Street, Charlotte, NC, 28208"
18897,Fairyland Pre-School 1,Currently unrated,2/10,"2025 Bentley Pl, Charlotte, NC, 28205"
18898,Center For Children Day Care,Currently unrated,2/10,"2101 Belvedere Avenue, Charlotte, NC, 28205"
18899,Spearman's Precious Heart Child Care Center,Currently unrated,2/10,"2101 Flint Glenn Lane, Charlotte, NC, 28262"
18900,New Hampton Academy-Early Learning Center,Currently unrated,2/10,"211 Hampton Church Rd, Charlotte, NC, 28262"
18901,Empowering God's Youth Dc,Currently unrated,1/10,"2114 Rice Planters Road, Charlotte, NC, 28273"
18902,Charlotte Kids R Kids #5,Currently unrated,6/10,"2115 Ben Craig Drive, Charlotte, NC, 28262"
18903,First Step Child Care,Currently unrated,5/10,"2126 Longdale Drive, Charlotte, NC, 28217"
18904,Taylored 4 U Family Child Care,Currently unrated,5/10,"219 Chattaroy Drive, Charlotte, NC, 28214"
18905,Calvary Baptist Ch Child & Dev Center,Currently unrated,5/10,"2200 Ashley Rd, Charlotte, NC, 28208"
18906,Fran's Kids Day Care,Currently unrated,5/10,"2201 Rozzelles Ferry Rd, Charlotte, NC, 28208"
18907,Mrs Mommy's Christian Daycare,Currently unrated,5/10,"2201 Rush Wind Drive, Charlotte, NC, 28206"
18908,Starfaigh Day Care,Currently unrated,4/10,"Po Box 78541, Charlotte, NC, 28271"
18909,Masters Learning Center,Currently unrated,4/10,"2214 N Sharon Amity Rd, Charlotte, NC, 28205"
18910,Brenda Morgan's Child Care Center,Currently unrated,4/10,"2218 Haines St, Charlotte, NC, 28216"
18911,Mayfield Day Care,Currently unrated,3/10,"2219 Tate St, Charlotte, NC, 28216"
18912,Allean's Child Care Center,Currently unrated,3/10,"2220 Sanders Avenue, Charlotte, NC, 28216"
18913,Lincoln Heights Day Care Center,Currently unrated,2/10,"2225 Augusta Street, Charlotte, NC, 28216"
18914,Children's Castle Day Care,Currently unrated,2/10,"2238 English Dr, Charlotte, NC, 28216"
18915,Aunt Alices Day Care Center,Currently unrated,6/10,"224 Bennett Street, Charlotte, NC, 28213"
18916,Child Care Network #92,Currently unrated,5/10,"2241 Commonwealth Avenue, Charlotte, NC, 28205"
18917,Smart Kids' Child Development Center,Currently unrated,5/10,"225 Lambeth Dr, Charlotte, NC, 28213"
18918,Pride And Joy Child Care Center,Currently unrated,5/10,"229 South Fox Street, Charlotte, NC, 28204"
18919,Fairyland Academy,Currently unrated,5/10,"2300 Eastway Drive, Charlotte, NC, 28205"
18920,Plaza Presbyterian Weeks Day School,Currently unrated,5/10,"2304 The Plaza, Charlotte, NC, 28205"
18921,Little Debbie's Child Development Center,Currently unrated,4/10,"2024 Camp Greene Street, Charlotte, NC, 28208"
18922,Fairyland Pre-School 1,Currently unrated,4/10,"2025 Bentley Pl, Charlotte, NC, 28205"
18923,Center For Children Day Care,Currently unrated,4/10,"2101 Belvedere Avenue, Charlotte, NC, 28205"
18924,Spearman's Precious Heart Child Care Center,Currently unrated,3/10,"2101 Flint Glenn Lane, Charlotte, NC, 28262"
18925,New Hampton Academy-Early Learning Center,Currently unrated,3/10,"211 Hampton Church Rd, Charlotte, NC, 28262"
18926,Empowering God's Youth Dc,Currently unrated,2/10,"2114 Rice Planters Road, Charlotte, NC, 28273"
18927,Charlotte Kids R Kids #5,Currently unrated,2/10,"2115 Ben Craig Drive, Charlotte, NC, 28262"
18928,First Step Child Care,Currently unrated,8/10,"2126 Longdale Drive, Charlotte, NC, 28217"
18929,Taylored 4 U Family Child Care,Currently unrated,7/10,"219 Chattaroy Drive, Charlotte, NC, 28214"
18930,Calvary Baptist Ch Child & Dev Center,Currently unrated,7/10,"2200 Ashley Rd, Charlotte, NC, 28208"
18931,Fran's Kids Day Care,Currently unrated,7/10,"2201 Rozzelles Ferry Rd, Charlotte, NC, 28208"
18932,Mrs Mommy's Christian Daycare,Currently unrated,6/10,"2201 Rush Wind Drive, Charlotte, NC, 28206"
18933,Starfaigh Day Care,Currently unrated,6/10,"Po Box 78541, Charlotte, NC, 28271"
18934,Masters Learning Center,Currently unrated,6/10,"2214 N Sharon Amity Rd, Charlotte, NC, 28205"
18935,Brenda Morgan's Child Care Center,Currently unrated,5/10,"2218 Haines St, Charlotte, NC, 28216"
18936,Mayfield Day Care,Currently unrated,5/10,"2219 Tate St, Charlotte, NC, 28216"
18937,Allean's Child Care Center,Currently unrated,5/10,"2220 Sanders Avenue, Charlotte, NC, 28216"
18938,Lincoln Heights Day Care Center,Currently unrated,5/10,"2225 Augusta Street, Charlotte, NC, 28216"
18939,Children's Castle Day Care,Currently unrated,5/10,"2238 English Dr, Charlotte, NC, 28216"
18940,Aunt Alices Day Care Center,Currently unrated,5/10,"224 Bennett Street, Charlotte, NC, 28213"
18941,Child Care Network #92,Currently unrated,5/10,"2241 Commonwealth Avenue, Charlotte, NC, 28205"
18942,Smart Kids' Child Development Center,Currently unrated,5/10,"225 Lambeth Dr, Charlotte, NC, 28213"
18943,Pride And Joy Child Care Center,Currently unrated,5/10,"229 South Fox Street, Charlotte, NC, 28204"
18944,Fairyland Academy,Currently unrated,5/10,"2300 Eastway Drive, Charlotte, NC, 28205"
18945,Plaza Presbyterian Weeks Day School,Currently unrated,5/10,"2304 The Plaza, Charlotte, NC, 28205"
18946,Knowledge Is Power Elc,Currently unrated,4/10,"2312 Orton Street, Charlotte, NC, 28208"
18947,Precious Moments Day Care,Currently unrated,4/10,"23174 Booker Ave, Charlotte, NC, 28216"
18948,Kid's Palace Learning Center,Currently unrated,3/10,"232 Sylvania Avenue, Charlotte, NC, 28206"
