,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
1,"10/10Top ratedDowntown Business High School1081 West Temple Street, Los Angeles, CA, 90012 Homes for sale",Public district,9-12,1037.0,25:1,10 reviews,Los Angeles Unified School District
2,"10/10Top ratedKIPP Raices Academy668 Atlantic Boulevard, Los Angeles, CA, 90022 Homes for sale",Public charter,K-4,574.0,18:1,15 reviews,Los Angeles Unified School District
3,"10/10Top ratedKIPP Iluminar Academy4800 East Cesar Chavez Avenue, Los Angeles, CA, 90022 Homes for sale",Public charter,K-4,568.0,23:1,8 reviews,Los Angeles Unified School District
4,"9/10Above averageOrthopaedic Hospital300 West 23rd Street, Los Angeles, CA, 90007 Homes for sale",Public district,9-12,839.0,24:1,3 reviews,Los Angeles Unified School District
5,"9/10Above averageAlliance Dr. Olga Mohan High School644 West 17th Street, Los Angeles, CA, 90015 Homes for sale",Public charter,9-12,453.0,18:1,16 reviews,Los Angeles Unified School District
6,"9/10Above averageAlliance Marc & Eva Stern Math And Science5151 State University Drive, Lot 2, Los Angeles, CA, 90032 Homes for sale",Public charter,9-12,607.0,22:1,8 reviews,Los Angeles Unified School District
7,"9/10Above averageGlobal Education Academy4141 South Figueroa Street, Los Angeles, CA, 90037 Homes for sale",Public charter,K-5,243.0,18:1,5 reviews,Los Angeles Unified School District
8,"9/10Above averageCommunity Magnet Charter Elementary School11301 Bellagio Road, Los Angeles, CA, 90049 Homes for sale",Public charter,K-5,458.0,26:1,24 reviews,Los Angeles Unified School District
9,"9/10Above averageCowan Avenue Elementary School7615 Cowan Avenue, Los Angeles, CA, 90045 Homes for sale",Public district,K-6,355.0,23:1,51 reviews,Los Angeles Unified School District
10,"9/10Above averageDelevan Drive Elementary School4168 West Avenue 42, Los Angeles, CA, 90065 Homes for sale",Public district,K-6,505.0,23:1,29 reviews,Los Angeles Unified School District
11,"9/10Above averageFairburn Avenue Elementary School1403 Fairburn Avenue, Los Angeles, CA, 90024 Homes for sale",Public district,K-5,447.0,24:1,20 reviews,Los Angeles Unified School District
12,"9/10Above averageIvanhoe Elementary School2828 Herkimer Street, Los Angeles, CA, 90039 Homes for sale",Public district,K-5,465.0,25:1,13 reviews,Los Angeles Unified School District
13,"9/10Above averageKenter Canyon Elementary School645 North Kenter Avenue, Los Angeles, CA, 90049 Homes for sale",Public charter,K-5,557.0,23:1,32 reviews,Los Angeles Unified School District
14,"9/10Above averageKing/Drew Medical Magnet High School1601 East 120th Street, Los Angeles, CA, 90059 Homes for sale",Public district,9-12,1567.0,24:1,19 reviews,Los Angeles Unified School District
15,"9/10Above averageMelrose Elementary School731 North Detroit Street, Los Angeles, CA, 90046 Homes for sale",Public district,K-6,443.0,20:1,39 reviews,Los Angeles Unified School District
16,"9/10Above averageOpen Charter Magnet School5540 West 77th Street, Los Angeles, CA, 90045 Homes for sale",Public charter,K-5,405.0,24:1,34 reviews,Los Angeles Unified School District
17,"9/10Above averageOverland Avenue Elementary School10650 Ashby Avenue, Los Angeles, CA, 90064 Homes for sale",Public district,K-5,494.0,22:1,21 reviews,Los Angeles Unified School District
18,"9/10Above averageRoscomare Road Elementary School2425 Roscomare Road, Los Angeles, CA, 90077 Homes for sale",Public district,K-5,455.0,23:1,25 reviews,Los Angeles Unified School District
19,"9/10Above averageL.A. County High School For The Arts5151 State University Drive, Los Angeles, CA, 90032 Homes for sale",Public district,9-12,542.0,8:1,37 reviews,Los Angeles County Office Of Education School District
20,"9/10Above averageKIPP Los Angeles College Preparatory School2810 Whittier Boulevard, Los Angeles, CA, 90023 Homes for sale",Public charter,5-8,508.0,25:1,5 reviews,Los Angeles Unified School District
21,"9/10Above averageMiddle College High School1600 West Imperial Hwy, Building 16, Los Angeles, CA, 90047 Homes for sale",Public district,9-12,404.0,28:1,1 review,Los Angeles Unified School District
22,"9/10Above averageWarner Avenue Elementary School615 Holmby Avenue, Los Angeles, CA, 90024 Homes for sale",Public district,K-5,665.0,22:1,28 reviews,Los Angeles Unified School District
23,"9/10Above averageWestwood Charter Elementary School2050 Selby Avenue, Los Angeles, CA, 90025 Homes for sale",Public charter,K-5,825.0,23:1,60 reviews,Los Angeles Unified School District
24,"9/10Above averageWonderland Avenue Elementary School8510 Wonderland Avenue, Los Angeles, CA, 90046 Homes for sale",Public district,K-5,516.0,25:1,34 reviews,Los Angeles Unified School District
0,"8/10Above averageHoney Elementary School3615 86th Street, Lubbock, TX, 79423 Homes for sale",Public district,PK-5,429.0,14:1,8 reviews,Lubbock Independent School District
1,"8/10Above averageTalkington School For Young Women2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Texas415 North Ivory Avenue, Lubbock, TX, 79403 Homes for sale",Public district,6-12,472.0,15:1,5 reviews,Lubbock Independent School District
2,"8/10Above averageCrestview Elementary School6020 81st St, Lubbock, TX, 79424 Homes for sale",Public district,PK-5,575.0,16:1,8 reviews,Frenship Independent School District
3,"7/10Above averageHutchinson Middle School3102 Canton Avenue, Lubbock, TX, 79410 Homes for sale",Public district,6-8,854.0,14:1,10 reviews,Lubbock Independent School District
4,"7/10Above averageMaedgen Elementary School4401 Nashville Avenue, Lubbock, TX, 79413 Homes for sale",Public district,PK-5,401.0,15:1,2 reviews,Lubbock Independent School District
5,"7/10Above averageLubbock-Cooper High School16302 Texas 493 Loop, Lubbock, TX, 79423 Homes for sale",Public district,9-12,1519.0,14:1,8 reviews,Lubbock-Cooper Independent School District
6,"7/10Above averageLubbock-Cooper West Elementary School10101 Fulton Avenue, Lubbock, TX, 79424 Homes for sale",Public district,PK-5,755.0,14:1,5 reviews,Lubbock-Cooper Independent School District
7,"7/10Above averageOak Ridge Elementary School6514 68th St, Lubbock, TX, 79424 Homes for sale",Public district,PK-5,635.0,17:1,4 reviews,Frenship Independent School District
8,"7/10Above averageLegacy Elementary School6424 Kemper St, Lubbock, TX, 79416 Homes for sale",Public district,PK-5,458.0,13:1,1 review,Frenship Independent School District
9,"7/10Above averageUpland Heights Elementary School10020 Upland Ave, Lubbock, TX, 79424 Homes for sale",Public district,PK-5,638.0,,1 review,Frenship Independent School District
10,"7/10Above averageNew Deal High School209 S Auburn Ave, Lubbock, TX, 79403 Homes for sale",Public district,9-12,213.0,10:1,2 reviews,New Deal Independent School District
11,"7/10Above averageRise Academy207 N Martin Luther King Blvd, Lubbock, TX, 79403 Homes for sale",Public charter,PK-8,307.0,13:1,2 reviews,Rise Academy
12,"7/10Above averageSmith Elementary School8707 Dover Avenue, Lubbock, TX, 79424 Homes for sale",Public district,PK-5,656.0,16:1,5 reviews,Lubbock Independent School District
13,"7/10Above averageWhiteside Elementary School7508 Albany Avenue, Lubbock, TX, 79424 Homes for sale",Public district,PK-5,562.0,16:1,5 reviews,Lubbock Independent School District
14,"7/10Above averageLubbock-Cooper Bush Middle School16302 Texas 493 Loop, Lubbock, TX, 79423 Homes for sale",Public district,6-8,872.0,17:1,4 reviews,Lubbock-Cooper Independent School District
15,"6/10AverageTerra Vista Middle School1111 Upland Ave, Lubbock, TX, 79416 Homes for sale",Public district,6-8,754.0,12:1,4 reviews,Frenship Independent School District
16,"6/10AverageHardwick Elementary School1420 Chicago Avenue, Lubbock, TX, 79416 Homes for sale",Public district,PK-5,412.0,15:1,3 reviews,Lubbock Independent School District
17,"6/10AverageRush Elementary School4702 15th Street, Lubbock, TX, 79416 Homes for sale",Public district,PK-5,384.0,15:1,2 reviews,Lubbock Independent School District
18,"6/10AverageRoy W Roberts Elementary School7901 Avenue P, Lubbock, TX, 79423 Homes for sale",Public district,PK-5,706.0,19:1,3 reviews,Lubbock Independent School District
19,"6/10AverageLubbock-Cooper Middle School16302 Texas 493 Loop, Lubbock, TX, 79423 Homes for sale",Public district,6-8,560.0,13:1,3 reviews,Lubbock-Cooper Independent School District
20,"6/10AverageLubbock-Cooper South Elementary School16302 Texas 493 Loop, Lubbock, TX, 79423 Homes for sale",Public district,PK-5,810.0,15:1,1 review,Lubbock-Cooper Independent School District
21,"6/10AverageHeritage Middle School6110 73rd St, Lubbock, TX, 79424 Homes for sale",Public district,6-8,701.0,17:1,3 reviews,Frenship Independent School District
22,"6/10AverageMiller El6705 Joliet Drive, Lubbock, TX, 79413 Homes for sale",Public district,PK-5,712.0,18:1,2 reviews,Lubbock Independent School District
23,"6/10AverageHarmony Science Academy - Lubbock1516 53rd Street, Lubbock, TX, 79412 Homes for sale",Public charter,PK-8,387.0,9:1,2 reviews,Harmony Science Acad (El Paso)
24,"6/10AverageNorth Ridge Elementary School6302 11th Pl, Lubbock, TX, 79416 Homes for sale",Public district,PK-5,654.0,17:1,3 reviews,Frenship Independent School District
0,"7/10Above averagePaul Munro Elementary School4641 Locksview Road, Lynchburg, VA, 24503 Homes for sale",Public district,PK-5,333.0,14:1,10 reviews,Lynchburg City Public Schools
1,"7/10Above averageLeesville Road Elementary School25 Lewis Way, Lynchburg, VA, 24502 Homes for sale",Public district,PK-5,661.0,16:1,4 reviews,Campbell County Public Schools
2,"6/10AverageT.C. Miller Elementary For Innovat.600 Mansfield Avenue, Lynchburg, VA, 24501 Homes for sale",Public district,PK-5,246.0,12:1,6 reviews,Lynchburg City Public Schools
3,"6/10AverageBoonsboro Elementary School1234 Eagle Circle, Lynchburg, VA, 24503 Homes for sale",Public district,K-5,303.0,17:1,6 reviews,Bedford County Public Schools
4,"6/10AverageBrookville High School100 Laxton Road, Lynchburg, VA, 24502 Homes for sale",Public district,9-12,925.0,15:1,2 reviews,Campbell County Public Schools
5,"6/10AverageBrookville Middle School320 Bee Drive, Lynchburg, VA, 24502 Homes for sale",Public district,6-8,727.0,16:1,2 reviews,Campbell County Public Schools
6,"6/10AverageTomahawk Elementary School155 Bee Drive, Lynchburg, VA, 24502 Homes for sale",Public district,PK-5,683.0,17:1,3 reviews,Campbell County Public Schools
7,"5/10AveragePaul Laurence Dunbar Mid. For Innov.1200 1208 Polk St, Lynchburg, VA, 24504 Homes for sale",Public district,6-8,657.0,14:1,1 review,Lynchburg City Public Schools
8,"5/10AverageLinkhorne Elementary School2501 Linkhorne Drive, Lynchburg, VA, 24503 Homes for sale",Public district,PK-5,458.0,13:1,3 reviews,Lynchburg City Public Schools
9,"5/10AverageWilliam M. Bass Elementary School1730 Seabury Avenue, Lynchburg, VA, 24501 Homes for sale",Public district,PK-5,238.0,11:1,3 reviews,Lynchburg City Public Schools
10,"4/10Below averagePerrymont Elementary School409 Perrymont Avenue, Lynchburg, VA, 24502 Homes for sale",Public district,PK-5,385.0,13:1,6 reviews,Lynchburg City Public Schools
11,"4/10Below averageRobert S. Payne Elementary School1201 Floyd Street, Lynchburg, VA, 24501 Homes for sale",Public district,PK-5,528.0,15:1,1 review,Lynchburg City Public Schools
12,"4/10Below averageSandusky Elementary School5828 Apache Lane, Lynchburg, VA, 24502 Homes for sale",Public district,PK-5,353.0,14:1,4 reviews,Lynchburg City Public Schools
13,"4/10Below averageSheffield Elementary School115 Kenwood Place, Lynchburg, VA, 24502 Homes for sale",Public district,PK-5,416.0,14:1,6 reviews,Lynchburg City Public Schools
14,"3/10Below averageBedford Hills Elementary School4330 Morningside Drive, Lynchburg, VA, 24503 Homes for sale",Public district,PK-5,456.0,14:1,3 reviews,Lynchburg City Public Schools
15,"3/10Below averageHeritage Elementary School501 Leesville Road, Lynchburg, VA, 24502 Homes for sale",Public district,PK-5,529.0,15:1,1 review,Lynchburg City Public Schools
16,"3/10Below averageSandusky Middle School805 Chinook Place, Lynchburg, VA, 24502 Homes for sale",Public district,6-8,562.0,12:1,5 reviews,Lynchburg City Public Schools
17,"2/10Below averageE.C. Glass High School2111 Memorial Avenue, Lynchburg, VA, 24501 Homes for sale",Public district,9-12,1359.0,13:1,No reviews yet,Lynchburg City Public Schools
18,"2/10Below averageHeritage High School3101 Wards Ferry Rd, Lynchburg, VA, 24502 Homes for sale",Public district,9-12,1074.0,13:1,2 reviews,Lynchburg City Public Schools
19,"2/10Below averageLinkhorne Middle School2525 Linkhorne Drive, Lynchburg, VA, 24503 Homes for sale",Public district,6-8,603.0,13:1,3 reviews,Lynchburg City Public Schools
20,"2/10Below averageDearington Elem/Innovation210 Smyth St, Lynchburg, VA, 24501 Homes for sale",Public district,PK-5,183.0,9:1,2 reviews,Lynchburg City Public Schools
21,"Currently unratedLaurel Regional Special Ed Center401 Monticello Avenue, Lynchburg, VA, 24501 Homes for sale",Public district,Ungraded,,5:1,No reviews yet,Laurel Regional School District
22,"Currently unratedHoly Cross Regional Catholic School2125 Langhorne Road, Lynchburg, VA, 24501 Homes for sale",Private,PK-12,207.0,,6 reviews,
23,"Currently unratedJames River Day School5039 Boonsboro Road, Lynchburg, VA, 24503 Homes for sale",Private,K-8,253.0,,4 reviews,
24,"Currently unratedNew Vistas School520 Eldon Street, Lynchburg, VA, 24501 Homes for sale",Private,2-12,42.0,,3 reviews,
0,"9/10Above averageSherman Thomas Stem Academy51 East Adell Street, Madera, CA, 93638 Homes for sale",Public charter,6-8,74.0,,No reviews yet,Madera Unified School District
1,"7/10Above averageWebster Elementary School36477 Ruth Avenue, Madera, CA, 93636 Homes for sale",Public district,K-6,620.0,22:1,5 reviews,Golden Valley Unified School District
2,"7/10Above averageLiberty High School12220 Road 36, Madera, CA, 93636 Homes for sale",Public district,9-12,561.0,19:1,6 reviews,Golden Valley Unified School District
3,"7/10Above averageRanchos Middle School12455 Road 35 1/2, Madera, CA, 93636 Homes for sale",Public district,7-8,323.0,21:1,8 reviews,Golden Valley Unified School District
4,"6/10AverageSierra View Elementary School16436 Paula Road, Madera, CA, 93636 Homes for sale",Public district,K-6,411.0,22:1,5 reviews,Golden Valley Unified School District
5,"6/10AverageSherman Thomas Charter High School26303 Adell Street, Madera, CA, 93638 Homes for sale",Public charter,9-12,83.0,21:1,3 reviews,Madera Unified School District
6,"5/10AverageJohn J. Pershing Elementary School1505 East Ellis Street, Madera, CA, 93638 Homes for sale",Public district,K-6,678.0,21:1,5 reviews,Madera Unified School District
7,"5/10AverageLa Vina Elementary School8594 Road 23, Madera, CA, 93637 Homes for sale",Public district,K-8,259.0,20:1,1 review,Madera Unified School District
8,"5/10AverageLincoln Elementary School650 Liberty Lane, Madera, CA, 93637 Homes for sale",Public district,K-6,823.0,23:1,3 reviews,Madera Unified School District
9,"5/10AverageMillview Elementary School1609 Clinton Street, Madera, CA, 93638 Homes for sale",Public district,K-6,714.0,23:1,2 reviews,Madera Unified School District
10,"5/10AverageEastin Arcola29551 Avenue 8, Madera, CA, 93637 Homes for sale",Public district,K-8,241.0,17:1,No reviews yet,Madera Unified School District
11,"4/10Below averageNishimoto Elementary School26460 Martin Street, Madera, CA, 93638 Homes for sale",Public district,K-6,740.0,24:1,No reviews yet,Madera Unified School District
12,"4/10Below averageMadera South High School755 West Pecan Avenue, Madera, CA, 93637 Homes for sale",Public district,9-12,3270.0,23:1,3 reviews,Madera Unified School District
13,"4/10Below averageCesar Chavez Elementary School2600 East Pecan, Madera, CA, 93638 Homes for sale",Public district,K-6,731.0,24:1,No reviews yet,Madera Unified School District
